loss,grad_norm,learning_rate,completions/mean_length,completions/min_length,completions/max_length,completions/clipped_ratio,reward,reward_std,frac_reward_zero_std,rewards/SummaryFormatReward/mean,rewards/SummaryFormatReward/std,rewards/SummaryHeaderReward/mean,rewards/SummaryHeaderReward/std,rewards/SummaryParsePenalty/mean,rewards/SummaryParsePenalty/std,rewards/SummaryDatasetReward/mean,rewards/SummaryDatasetReward/std,rewards/SummaryObjectsTotalReward/mean,rewards/SummaryObjectsTotalReward/std,rewards/SummaryContentF1Reward/mean,rewards/SummaryContentF1Reward/std,kl,clip_ratio/low_mean,clip_ratio/low_min,clip_ratio/high_mean,clip_ratio/high_max,clip_ratio/region_mean,epoch,global_step/max_steps,percentage,elapsed_time,remaining_time,memory(GiB),train_speed(iter/s),step
-4.7e-07,0.4686566,0.0,110.58333588,57.0,201.0,0.0,4.94957924,0.04570661,0.66666669,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.97916669,0.10206208,0.95999616,0.08398414,0.0,0.0,0.0,0.0,0.0,0.0,0.00159744,1/1252,0.08%,37s,12h 53m 16s,64.38,0.026963,1
8.09e-06,0.36138043,2e-08,135.19907888,59.11111111,259.0,0.0,4.31252586,0.08951942,0.35185186,0.94444444,0.0958041,0.88888889,0.1916082,0.0,0.0,0.94444444,0.0958041,0.61133409,0.33353852,0.8124143,0.19640459,0.00020119,0.0,0.0,0.0,0.0,0.0,0.01597444,10/1252,0.80%,2m 40s,5h 31m 45s,65.11,0.062394,10
3.762e-05,0.18985613,3e-08,140.65417252,40.2,233.3,0.0,4.02852931,0.07757643,0.40000001,0.89999999,0.20043174,0.80000001,0.4008635,0.0,0.0,0.89999999,0.20043174,0.61782696,0.33659459,0.76961571,0.27191353,0.00093827,0.0,0.0,0.0,0.0,0.0,0.03194888,20/1252,1.60%,4m 53s,5h 1m 38s,65.58,0.068072,20
0.00019981,0.38203311,5e-08,138.27083893,47.5,238.7,0.0,4.23861644,0.090654,0.41666667,0.93333333,0.1522774,0.86666667,0.3045548,-0.00416667,0.02041241,0.92916666,0.17268981,0.65341745,0.36006863,0.7869076,0.23039472,0.0050024,0.0,0.0,0.0,0.0,0.0,0.04792332,30/1252,2.40%,7m 0s,4h 45m 39s,66.83,0.071298,30
0.00063601,0.49088639,7e-08,110.83333664,33.2,221.3,0.0,3.75485368,0.05162204,0.58333335,0.86666666,0.27657044,0.73333335,0.5531409,0.0,0.0,0.86666666,0.27657044,0.57303326,0.39442108,0.70167024,0.31030933,0.01589492,0.0,0.0,0.0,0.0,0.0,0.06389776,40/1252,3.19%,9m 13s,4h 39m 28s,66.83,0.072279,40
0.000519,0.3109895,8e-08,132.89167023,45.7,251.2,0.0,4.14341197,0.05776435,0.43333334,0.91666666,0.16236239,0.83333334,0.32472478,0.0,0.0,0.91666666,0.16236239,0.62851541,0.36974979,0.78748752,0.22537405,0.01296589,0.0,0.0,0.0,0.0,0.0,0.0798722,50/1252,3.99%,11m 36s,4h 38m 51s,67.78,0.071839,50
0.0019147,0.51820731,1e-07,146.17083817,40.5,278.5,0.0,3.90777771,0.11917199,0.38333334,0.88749999,0.26219929,0.80000001,0.4568322,-0.01666667,0.05419561,0.88333333,0.26561506,0.56747307,0.39585421,0.71987433,0.29080648,0.04783823,0.0,0.0,0.0,0.0,0.0,0.09584665,60/1252,4.79%,13m 57s,4h 37m 25s,68.21,0.071609,60
0.00167164,0.38293096,1e-07,148.81667328,56.3,254.7,0.0,3.94037421,0.08172101,0.41666668,0.89999999,0.20043174,0.80000001,0.40086349,-0.00416667,0.02041241,0.89583333,0.22084416,0.51492064,0.34369822,0.74124719,0.28096388,0.04176013,0.0,0.0,0.0,0.0,0.0,0.11182109,70/1252,5.59%,16m 13s,4h 33m 51s,68.54,0.071934,70
0.00255824,0.28342059,1e-07,116.22500153,53.6,207.1,0.0,4.15221779,0.09549357,0.46666667,0.93333333,0.1522774,0.86666667,0.3045548,-0.00833333,0.02823299,0.92499999,0.18051038,0.59106126,0.35790878,0.74002035,0.24885035,0.06392955,0.0,0.0,0.0,0.0,0.0,0.12779553,80/1252,6.39%,18m 25s,4h 29m 52s,68.84,0.07238,80
0.00301124,0.30779684,1e-07,113.13750381,46.4,218.0,0.0,3.64700477,0.05013248,0.56666668,0.84999999,0.25150713,0.70000001,0.50301427,0.0,0.0,0.84999999,0.25150713,0.54233134,0.36859984,0.70083904,0.29639524,0.07523846,0.0,0.0,0.0,0.0,0.0,0.14376997,90/1252,7.19%,20m 31s,4h 24m 55s,68.88,0.073101,90
0.00119021,0.55159956,1e-07,136.55833664,64.8,236.1,0.0,4.44224153,0.06642247,0.50000001,0.96666666,0.0761387,0.93333334,0.15227741,0.0,0.0,0.96666666,0.0761387,0.66934397,0.33872974,0.79090277,0.22156458,0.02975324,0.0,0.0,0.0,0.0,0.0,0.15974441,100/1252,7.99%,22m 46s,4h 22m 27s,68.88,0.073155,100
0.00121964,0.21061189,1e-07,132.13333511,59.5,219.4,0.0,4.28598404,0.0616527,0.41666667,0.95,0.08622369,0.9,0.17244738,0.0,0.0,0.95,0.08622369,0.56515119,0.31722308,0.77840821,0.19467587,0.03046454,0.0,0.0,0.0,0.0,0.0,0.17571885,110/1252,8.79%,34m 22s,5h 56m 55s,68.9,0.053325,110
0.00196604,0.16007149,1e-07,138.49583664,55.9,234.1,0.0,3.40480447,0.0482719,0.48333334,0.81666665,0.39077849,0.63333335,0.78155698,0.0,0.0,0.80416665,0.39913971,0.48744049,0.38049642,0.6756675,0.35806771,0.04913947,0.0,0.0,0.0,0.0,0.0,0.19169329,120/1252,9.58%,36m 39s,5h 45m 46s,68.9,0.054564,120
0.00142497,0.82732391,1e-07,149.51667252,75.5,262.3,0.0,4.13702719,0.05454515,0.36666667,0.93333333,0.1522774,0.86666667,0.3045548,0.0,0.0,0.93333333,0.1522774,0.51598379,0.34331394,0.74570192,0.25499278,0.03561039,0.0,0.0,0.0,0.0,0.0,0.20766773,130/1252,10.38%,38m 56s,5h 36m 4s,68.94,0.055644,130
0.00185478,0.2976155,1e-07,129.92083588,60.3,230.4,0.0,3.77480335,0.06845173,0.43333334,0.88333334,0.18253238,0.76666667,0.36506476,0.0,0.0,0.88333334,0.18253238,0.48619134,0.3728051,0.67337414,0.29666451,0.04633267,0.0,0.0,0.0,0.0,0.0,0.22364217,140/1252,11.18%,41m 11s,5h 27m 11s,68.94,0.056642,140
